,        0,        1,        2,        3,        4,        5,        6,        7,        8,        9
        0,      -70,        0,        0,        0,        0,        0,        6,        0,        0,        0
        1,        0,      -80,        2,        0,        0,        0,        0,        5,        0,        2
        2,        0,        0,     -115,        0,        6,        0,        0,        0,        1,       10
        3,        0,        0,        0,      -85,        0,        7,        0,        0,        0,        0
        4,        0,        0,        0,        0,     -105,        0,        0,        1,       10,        6
        5,        0,        0,        0,        0,        0,     -115,        0,        0,        0,        0
        6,        0,        0,        0,        0,        0,        0,     -150,        0,        3,        0
        7,        0,        0,        0,        0,        0,        0,        0,     -120,        1,        1
        8,        0,        0,        0,        0,        0,        0,        0,        0,     -115,        6
        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,      -85
