,        0,        1,        2,        3,        4,        5,        6,        7,        8,        9
        0, -42.8571,        0,        0,        6,        0,        9,       20,        0,       11,       17
        1,        0,  -44.898,        3,        0,        3,        0,        1,        6,        4,        0
        2,        0,        0, -38.7755,        0,        4,        0,        5,        0,        0,        0
        3,        0,        0,        0, -81.6327,        0,        6,        6,        9,        1,        7
        4,        0,        0,        0,        0,  -55.102,        0,        1,        0,        4,        0
        5,        0,        0,        0,        0,        0, -53.0612,       11,        0,        1,        9
        6,        0,        0,        0,        0,        0,        0,     -100,        0,       12,       17
        7,        0,        0,        0,        0,        0,        0,        0,  -55.102,        4,        0
        8,        0,        0,        0,        0,        0,        0,        0,        0, -59.1837,       11
        9,        0,        0,        0,        0,        0,        0,        0,        0,        0, -65.3061
