,        0,        1,        2,        3,        4,        5,        6,        7,        8,        9
        0, -46.6667,        0,        0,        0,        0,        0,        6,        0,        0,        0
        1,        0, -53.3333,        2,        0,        0,        0,        0,        5,        0,        2
        2,        0,        0, -76.6667,        0,        6,        0,        0,        0,        1,       10
        3,        0,        0,        0, -56.6667,        0,        7,        0,        0,        0,        0
        4,        0,        0,        0,        0,      -70,        0,        0,        1,       10,        6
        5,        0,        0,        0,        0,        0, -76.6667,        0,        0,        0,        0
        6,        0,        0,        0,        0,        0,        0,     -100,        0,        3,        0
        7,        0,        0,        0,        0,        0,        0,        0,      -80,        1,        1
        8,        0,        0,        0,        0,        0,        0,        0,        0, -76.6667,        6
        9,        0,        0,        0,        0,        0,        0,        0,        0,        0, -56.6667
