,        0,        1,        2,        3,        4,        5,        6,        7,        8,        9
        0, -23.5125,        0,        6,       11,        5,        6,        0,       10,        0,       19
        1,        0, -16.3875,        0,        0,        7,        6,        4,        5,        3,        2
        2,        0,        0, -19.2375,        0,        8,        0,        4,        0,        0,        1
        3,        0,        0,        0,   -19.95,        0,        0,        0,        5,        0,        7
        4,        0,        0,        0,        0,    -28.5,        9,        5,        2,       15,        0
        5,        0,        0,        0,        0,        0, -24.9375,        0,       15,        8,       14
        6,        0,        0,        0,        0,        0,        0,    -17.1,        0,        0,        0
        7,        0,        0,        0,        0,        0,        0,        0, -23.5125,        2,       16
        8,        0,        0,        0,        0,        0,        0,        0,        0,    -22.8,        0
        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,   -25.65
