,        0,        1,        2,        3,        4,        5,        6,        7,        8,        9
        0,  -15.675,        0,        6,       11,        5,        6,        0,       10,        0,       19
        1,        0,  -10.925,        0,        0,        7,        6,        4,        5,        3,        2
        2,        0,        0,  -12.825,        0,        8,        0,        4,        0,        0,        1
        3,        0,        0,        0,    -13.3,        0,        0,        0,        5,        0,        7
        4,        0,        0,        0,        0,      -19,        9,        5,        2,       15,        0
        5,        0,        0,        0,        0,        0,  -16.625,        0,       15,        8,       14
        6,        0,        0,        0,        0,        0,        0,    -11.4,        0,        0,        0
        7,        0,        0,        0,        0,        0,        0,        0,  -15.675,        2,       16
        8,        0,        0,        0,        0,        0,        0,        0,        0,    -15.2,        0
        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,    -17.1
