,        0,        1,        2,        3,        4,        5,        6,        7,        8,        9
        0, -128.571,        0,        0,        6,        0,        9,       20,        0,       11,       17
        1,        0, -134.694,        3,        0,        3,        0,        1,        6,        4,        0
        2,        0,        0, -116.327,        0,        4,        0,        5,        0,        0,        0
        3,        0,        0,        0, -244.898,        0,        6,        6,        9,        1,        7
        4,        0,        0,        0,        0, -165.306,        0,        1,        0,        4,        0
        5,        0,        0,        0,        0,        0, -159.184,       11,        0,        1,        9
        6,        0,        0,        0,        0,        0,        0,     -300,        0,       12,       17
        7,        0,        0,        0,        0,        0,        0,        0, -165.306,        4,        0
        8,        0,        0,        0,        0,        0,        0,        0,        0, -177.551,       11
        9,        0,        0,        0,        0,        0,        0,        0,        0,        0, -195.918
