,        0,        1,        2,        3,        4,        5,        6,        7,        8,        9
        0,     -320,        0,        1,        4,        4,        0,       23,        4,        6,        0
        1,        0,     -200,        0,        4,        3,        0,        0,        8,        0,        0
        2,        0,        0,     -290,        9,        0,        0,        1,        0,        3,        0
        3,        0,        0,        0,     -440,        7,        2,        7,        7,       15,        1
        4,        0,        0,        0,        0,     -120,        2,        0,        9,        4,        1
        5,        0,        0,        0,        0,        0,     -260,        0,       10,        0,       15
        6,        0,        0,        0,        0,        0,        0,     -360,        0,        1,        0
        7,        0,        0,        0,        0,        0,        0,        0,     -350,        4,        8
        8,        0,        0,        0,        0,        0,        0,        0,        0,     -250,        0
        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,     -200
