,        0,        1,        2,        3,        4,        5,        6,        7,        8,        9
        0,  -7.8375,        0,        6,       11,        5,        6,        0,       10,        0,       19
        1,        0,  -5.4625,        0,        0,        7,        6,        4,        5,        3,        2
        2,        0,        0,  -6.4125,        0,        8,        0,        4,        0,        0,        1
        3,        0,        0,        0,    -6.65,        0,        0,        0,        5,        0,        7
        4,        0,        0,        0,        0,     -9.5,        9,        5,        2,       15,        0
        5,        0,        0,        0,        0,        0,  -8.3125,        0,       15,        8,       14
        6,        0,        0,        0,        0,        0,        0,     -5.7,        0,        0,        0
        7,        0,        0,        0,        0,        0,        0,        0,  -7.8375,        2,       16
        8,        0,        0,        0,        0,        0,        0,        0,        0,     -7.6,        0
        9,        0,        0,        0,        0,        0,        0,        0,        0,        0,    -8.55
